44	13453
27	8137
3	2785
26	9229
28	7581
27	8860
20	6322
50	13933
22	7901
24	8236
30	9934
7	2622
30	8712
32	9231
22	6333
13	6935
18	7350
42	11187
22	7900
15	5222
10	4162
6	4420
13	5472
4	1647
9	4153
39	12897
9	4087
37	11389
30	9945
25	7131
37	10753
34	10469
45	12817
38	9888
22	6782
27	9164
35	9184
24	8990
29	9256
43	13124
10	5341
40	13159
18	5564
38	10665
28	10079
20	6521
18	6153
28	8470
32	9474
20	6125
50	12797
27	7123
25	6810
34	10058
33	8457
14	5283
26	9012
42	13416
33	10051
54	14084
50	14043
4	2683
43	11347
33	9813
36	10879
7	5277
50	15215
41	11999
15	5584
23	8642
41	11308
43	12219
41	10641
43	10350
43	12290
41	12556
19	6425
32	8890
28	8465
14	4817
34	8455
48	14763
13	4857
28	9919
38	11587
55	16323
23	7508
38	10038
42	12094
33	8920
25	8640
29	10097
21	8408
22	6937
15	6651
8	4566
39	10983
21	8342
13	4181
23	7305
47	13375
39	10776
43	13225
40	12159
34	10172
35	10212
29	8318
43	13574
55	13564
46	12875
23	7152
30	9561
27	9781
35	11230
44	13848
35	10052
31	10297
33	8398
28	9704
29	9633
25	8387
34	10580
46	13224
40	10137
4	3411
12	6011
24	7945
31	8353
27	9508
18	7000
28	10065
29	9103
40	12025
13	5330
32	9646
36	11093
47	12396
19	5639
11	3801
14	5988
30	9243
25	7902
34	10477
29	9836
38	11190
46	12294
15	7263
16	5761
24	9085
20	7854
15	5312
33	10358
13	5825
23	9185
23	8052
25	7851
48	13265
27	8838
31	8190
22	5839
56	15438
26	7910
42	12402
19	7566
13	4758
46	12990
34	11715
29	10189
17	6191
18	5492
14	6289
48	12581
22	7208
30	8579
30	8905
19	7634
41	12743
8	4574
39	11098
1	1117
54	14906
17	5933
28	8479
26	8128
17	5478
15	4682
40	10012
27	7395
46	14176
13	6244
9	4710
13	5273
26	8180
34	9747
44	12301
17	5970
32	9346
27	8634
29	9776
26	8780
